,episode1,episode60,episode120,episode180,episode240,episode300,episode360,episode420,episode480,episode540,episode600,episode660,episode720,episode780,episode840,episode900,episode960,episode1020,episode1080,episode1140,episode1200
problem1,183.419396,183.201668,183.947076,160.330021,161.336185,130.058977,126.736176,85.904299,85.471895,80.111422,80.164649,79.909679,79.922461,80.773171,80.704929,80.721961,80.447067,79.962629,79.968541,80.287690,80.158189
problem2,2129147.007950,2125557.723828,2218248.663441,1963823.544828,1951345.920611,1408323.117875,1331733.134159,429524.520333,420840.705592,225484.895753,219338.815151,221351.229717,210811.465074,170149.817123,167194.759573,177479.611978,167886.044199,183892.711822,194592.247920,319382.560097,289160.029890
problem3,455.744642,498.656909,479.090844,339.205205,373.805529,184.780757,199.411521,-68.896498,-65.902514,-86.732963,-102.402090,-109.990686,-103.052499,-146.369564,-154.186580,-174.064660,-175.529915,-201.555003,-176.288016,-28.005704,-65.893663
problem4,508.881249,551.605626,535.626701,478.517595,483.965337,353.769687,359.121043,120.750029,138.037057,-68.212239,-77.297468,-23.785346,-25.910400,-82.962546,-86.842798,-83.062041,-70.629881,-64.380067,-71.392517,-27.683826,-40.512046
problem5,-9.210000,-4.980355,-9.210000,60.073645,77.912775,-1.744349,-1.617167,88.574026,81.487652,116.705249,110.075274,187.036160,187.983405,28.458017,21.472417,-2.290934,-4.937147,-5.558180,-5.652281,-8.646928,-8.761885
problem6,315638.568440,293351.249917,310515.494990,190989.304102,176905.302908,31193.688807,34125.802531,263.956277,278.695462,213.103638,198.844325,213.097904,212.510842,207.389943,212.788354,213.709812,220.533638,209.103749,218.199144,218.970099,212.276384
problem7,696.642354,716.707472,718.662584,612.808564,597.080349,463.701266,475.832848,182.070899,180.262548,161.967883,163.749707,160.066756,159.433255,220.028916,206.955845,216.658728,234.103169,182.547400,179.482930,221.483086,227.468666
problem8,61142.814369,65373.728619,65862.819374,53325.708047,52391.195033,30763.813742,30288.981796,1250.366473,1245.161177,592.905145,590.304805,548.891627,577.667631,796.953427,729.818237,693.606334,745.855028,538.418159,539.677767,611.328504,698.647692
problem9,1272.609165,1201.506583,1257.529315,1257.207630,1341.204008,1250.136021,1285.742821,385.608224,382.495043,182.728293,177.596954,189.218621,183.976762,185.669111,195.540058,199.790610,184.962718,184.527643,193.886215,194.988252,203.024845
problem10,3696690.909836,3590670.064479,3516050.433957,2421753.535148,2539443.755588,1402858.108671,1462761.031954,176976.205819,167442.769897,163468.829530,150029.861693,162080.940791,164366.826578,167902.511186,175821.610109,181108.706687,189296.940032,223460.023535,211505.228085,218409.762080,193899.880040
