,episode1,episode60,episode120,episode180,episode240,episode300,episode360,episode420,episode480,episode540,episode600,episode660,episode720,episode780,episode840,episode900,episode960,episode1020,episode1080,episode1140,episode1200
problem1,4560.539573,4460.526864,4432.863956,3894.326474,3864.316073,2784.428401,2728.127026,1775.582166,1770.211314,1530.654924,1517.914218,1456.072234,1491.290386,1423.784562,1414.318281,1384.436389,1402.299969,1415.156607,1367.530663,1394.599424,1459.316858
problem2,90580965.774724,91607645.131829,90082292.950583,85901504.723338,83978397.446553,67733358.603787,72710121.636646,45716114.181285,46736868.910226,34480059.638323,34237014.117986,36176054.855500,35904146.134467,35183456.727489,35349103.041233,33621538.573724,33092679.870239,35387338.115832,35519854.359992,35970957.128340,36414327.889954
problem3,38818.562896,38929.386734,38783.131421,34764.460024,35773.159839,30114.485447,29834.687770,25023.047878,25144.021844,23919.174266,24539.479323,25171.464995,25072.153731,23778.564473,23858.104329,23121.949987,23015.638822,23171.313120,22194.674041,22793.201741,22758.599995
problem4,39468.959590,40060.308326,41203.748261,38666.040729,39153.311584,34059.293683,34380.130618,26347.798114,26002.774822,26599.474963,26476.366922,26718.700006,26914.202245,25351.158625,25824.961779,25194.703547,25296.662354,26807.384533,27269.035123,25634.197130,26190.087518
problem5,10556.106406,10633.947775,10871.009345,10129.155105,10335.564691,10348.940343,10361.885588,15343.762881,15196.381877,15974.424332,15758.910707,17249.035967,16815.187702,12101.904130,11784.592398,9679.692707,9519.313753,8821.998366,8564.265497,7687.455554,7706.839889
problem6,14408157.697101,14074091.855371,13630630.964087,11420426.255508,12106383.469589,6183612.869872,5694191.596122,4863756.257160,5102076.843048,4930309.506924,5086762.433033,4998727.068333,5028452.444126,4673544.177548,4790072.010250,4851824.152548,4766889.000727,4894767.903550,4842868.365448,4555407.832874,4675319.256610
problem7,27192.450358,26792.457599,26842.084727,21743.938251,20991.852368,16538.282292,16635.550467,10813.148689,10572.434533,10059.244688,9979.002403,10239.756654,10311.676869,9952.155133,10177.293968,9939.487634,9755.070685,10397.906072,9911.247127,9708.072651,9621.182513
problem8,2723626.392228,2557434.433762,2674638.999891,2088835.485771,2204906.730198,1156214.418806,1308427.154634,640504.121127,654695.604112,611966.456725,631368.270954,632973.019567,645089.741428,634433.588237,620594.823220,609301.827149,605991.667365,615297.796847,620486.628516,612272.045944,591135.977457
problem9,48000.742383,48690.928056,48666.817047,42021.586617,47532.163402,46912.768484,44580.519248,46476.493582,47463.083819,29062.168154,28856.826880,20082.889340,20193.189115,14394.409882,14131.613722,12752.368235,12693.665539,12463.127939,12617.404124,13630.586801,13896.128187
problem10,197733445.871673,191083650.106781,195041023.151622,171067379.367178,162125052.069798,142487484.545850,136699410.406586,115660171.910474,119771272.439631,108615945.692329,108502025.879776,103743234.883739,102510593.118032,101331212.949525,100071532.966124,98209912.599254,103052417.430466,98261646.047203,98425777.857539,94175888.263300,93546612.738890
