,episode1,episode60,episode120,episode180,episode240,episode300,episode360,episode420,episode480,episode540,episode600,episode660,episode720,episode780,episode840,episode900,episode960,episode1020,episode1080,episode1140,episode1200
problem1,113.803433,105.850614,106.544053,220.364641,218.907652,463.403255,454.488437,1157.795163,1189.239126,1274.826771,1256.082949,1236.922357,1243.689357,1260.274935,1183.501575,1240.470118,1218.665622,1203.256262,1221.471584,1189.684283,1177.414722
problem2,2045411.547484,2294595.307174,1834647.576938,2386870.924789,3041505.388815,5648303.249097,5883432.843515,19749170.983620,19862750.618017,21989746.880027,21386709.068718,21565904.007737,22028090.242698,23652947.109451,21639223.641448,22356949.689335,21982162.361776,21791175.216171,20954770.225483,20638939.263668,20052598.684390
problem3,716.678006,624.292175,645.131227,1304.630573,1127.251381,2582.450986,2476.155682,7162.375633,7098.233220,9661.756083,9913.353333,9638.185703,9987.875750,10556.682853,10500.876607,10697.768046,11019.748288,10616.235444,10171.874468,7326.183327,7985.804951
problem4,226.186594,153.758026,196.051881,349.280029,346.385754,1017.261339,1033.539772,4197.925318,3971.309809,9486.197220,9194.240218,7786.264462,7778.630778,9435.090929,9299.027855,9039.580334,9061.994257,8570.857150,8825.080696,7622.510029,7863.053540
problem5,9781.530798,9688.381368,10096.264540,6583.136188,6075.730779,9273.786429,9283.020878,10656.943438,10792.870358,10163.414349,10213.493168,8624.696300,8153.347621,9819.047257,9781.945153,8627.826132,8573.179480,7899.289347,7646.069780,6889.679523,6913.167893
problem6,998112.825965,1050229.334809,1025265.239202,1909880.084401,1951311.475851,3700702.326451,3665023.203898,4079855.349147,4042537.718729,4252453.520710,4282947.605232,4229919.874692,4191114.931867,3963484.713997,4131308.822888,3964776.080558,3874131.626573,3911024.432321,3943412.840547,3774190.755358,3994008.627355
problem7,930.847614,853.951337,902.922992,1199.671774,1223.596551,2099.676283,2043.616051,5933.465401,6180.376716,6392.686395,6329.454469,6284.252953,6199.880478,4971.694117,5137.087792,4732.400978,4534.711046,5429.967925,5549.789001,4460.261222,4706.762590
problem8,60966.835280,42415.872690,45361.575335,85151.859860,94749.164717,200950.231915,239106.329259,520384.541944,533402.724707,491701.894853,497488.955004,481648.253530,498430.099203,480019.637040,491744.854507,492733.666952,487131.193408,465958.784583,466013.956330,475580.905466,492469.323380
problem9,6.486961,3.271681,1.204840,2.700970,0.000000,13.279280,4.841564,16265.709776,16336.654844,10842.127560,10941.268689,10698.020551,10036.689841,9490.101512,10007.202655,8941.721149,9769.146162,10182.613380,10432.010668,8852.254677,9072.116084
problem10,36071501.469953,33757108.513435,34383111.877775,41645343.566948,42387614.282706,51905386.613929,52367507.348864,78988995.168804,77077043.923607,73986488.987678,76798564.756788,73931885.192713,74123712.036757,73074667.534034,69655234.650001,64565508.504156,67759018.744283,68011309.347633,65042196.193303,64018863.864905,65879619.368951
