,episode1,episode60,episode120,episode180,episode240,episode300,episode360,episode420,episode480,episode540,episode600,episode660,episode720,episode780,episode840,episode900,episode960,episode1020,episode1080,episode1140,episode1200
problem1,4436.418012,4464.079168,4670.867242,3949.161173,3730.616995,2489.170338,2566.578599,1522.865563,1494.027256,1542.390788,1616.653921,2061.389559,2091.924638,1600.200287,1648.991229,1398.417538,1380.814590,1340.889552,1367.698454,1369.167306,1337.205016
problem2,91767303.486957,92077287.886835,95199001.094096,85177198.092134,84818226.685522,65666518.984209,62650912.277084,34333253.683983,34097471.782417,34523109.329334,33431587.944264,34494815.057141,34311271.756878,36065769.873614,33709639.739281,34393118.067628,33217635.088288,34611515.349008,34173017.046321,36898376.941089,35383269.125631
problem3,38942.002820,39002.622039,38892.153940,34572.718777,35692.943766,29377.077617,28560.635070,23835.402768,23449.755756,24071.274038,23916.818831,25926.935061,26092.319998,24978.273655,24757.984040,23639.766040,23797.994252,22790.740729,21923.618000,22799.371688,22530.487427
problem4,40718.291558,41087.788226,41519.911227,38367.914777,38739.187931,35848.707321,35950.459343,27507.160197,27520.409594,25655.687404,26174.430286,27369.411385,27323.201104,25904.607784,25654.220634,25582.039369,25206.791622,26147.054754,25775.951830,25972.393944,26917.648394
problem5,10711.355968,10603.648626,10685.568094,10371.191047,10088.763497,9981.024535,9892.182018,9591.391303,9749.632526,10620.773053,10687.488394,13965.538661,13071.030347,10725.932374,10120.048068,8829.449839,8350.439905,8300.132242,8063.913322,7803.579118,7810.200118
problem6,14190707.022587,13665900.599655,13808365.785072,11239537.052717,10472372.719882,5800690.588138,5535100.532576,5191083.520372,5061697.312059,5612612.777406,5609338.037522,7018131.647912,7767109.416993,5579121.152645,5517644.791765,4706003.338475,4862404.355521,4695679.818094,4668623.005270,4887650.593883,4903618.010793
problem7,25775.671462,26079.709247,26821.047771,22485.520795,23128.658337,17530.686414,17732.809194,10263.284813,10364.153869,10025.815641,10214.698206,11899.524311,11759.241459,10950.462960,10667.223716,10597.888599,10669.391127,9487.353576,9498.725574,9823.304285,10190.683890
problem8,2714415.759190,2692238.888648,2663282.091268,2138445.480080,2188297.979618,1338327.701094,1318532.137671,696221.914999,701624.845128,615613.818610,610889.587686,598439.594317,612831.833299,620523.619259,622143.407441,614393.139899,614667.763620,623430.922146,603894.365951,605892.799192,621355.485644
problem9,44581.766668,45940.273178,45830.167482,48129.287274,46336.269203,44848.056048,46015.348007,32915.670752,33240.061008,16311.257691,15481.451522,13626.040828,13360.665583,14180.181873,13492.893081,12982.880093,13736.994617,12883.962584,12508.363262,12707.410985,12715.807422
problem10,197562567.864227,193679232.958881,194390863.619547,168851721.292011,171138081.677396,133234764.191809,130113532.598146,109968432.243326,110726242.708654,114474414.295630,115117425.267402,127450314.801795,123925033.716301,109686332.127803,116646914.070943,100637831.603750,99702804.257324,98841173.971537,100727148.306534,98745204.597699,98547321.019106
problem11,1414128.001204,1434849.059326,1385617.140468,1405354.673824,1409561.270484,1373575.763429,1438370.830762,1403422.901477,1411440.858014,1367641.098812,1423262.423742,1426421.584811,1438232.300046,1396413.687765,1517668.919350,1425454.638967,1369118.254795,1404363.515563,1510807.666445,1381852.257784,1422816.976156
problem12,5866094341.860656,5736288023.279288,5656623787.321333,5090871660.740498,5021730245.978396,3160309205.412517,3182909386.512795,1951692333.183427,1904933741.099735,2074500238.888834,2010637277.044341,2697019082.348054,2714389857.640063,2120104510.382619,2053397074.368573,1809370612.731409,1867518702.575835,1764660952.315547,1769782181.942671,1808638012.364441,1827113188.891096
